area_type,location,total_sqft,bath,balcony,price,bhk
Super built-up  Area,Kanakpura Road,1300.0,2.0,3.0,69.0,3
Built-up  Area,Kanakpura Road,2000.0,3.0,3.0,105.0,3
Plot  Area,Kanakpura Road,1200.0,2.0,0.0,62.0,2
Super built-up  Area,Kanakpura Road,1843.0,3.0,2.0,95.0,3
Super built-up  Area,Kanakpura Road,900.0,2.0,1.0,46.29,2
Super built-up  Area,Kanakpura Road,850.0,1.0,1.0,37.32,1
Super built-up  Area,Kanakpura Road,525.0,1.0,1.0,30.0,1
Super built-up  Area,Kanakpura Road,1938.0,3.0,3.0,105.0,3
Super built-up  Area,Kanakpura Road,1843.0,3.0,2.0,96.2,3
Super built-up  Area,Kanakpura Road,525.0,1.0,1.0,26.0,1
Super built-up  Area,Kanakpura Road,700.0,2.0,2.0,36.0,2
Super built-up  Area,Kanakpura Road,1622.0,3.0,2.0,95.0,3
Super built-up  Area,Kannamangala,957.0,2.0,1.0,58.0,2
Built-up  Area,Kannamangala,957.0,2.0,1.0,56.0,2
Built-up  Area,Kannamangala,3000.0,4.0,0.0,200.0,4
Super built-up  Area,Kannamangala,1536.0,3.0,1.0,89.0,3
Plot  Area,Kannamangala,2400.0,4.0,1.0,130.0,4
Super built-up  Area,Kannamangala,1574.0,3.0,1.0,93.34,3
Built-up  Area,Kannamangala,957.0,2.0,0.0,52.5,2
Super built-up  Area,Kannamangala,1536.0,3.0,1.0,104.0,3
Super built-up  Area,Kannamangala,957.0,2.0,2.0,54.5,2
Super built-up  Area,Kannamangala,2422.0,4.0,3.0,135.0,4
Super built-up  Area,Kannamangala,957.0,2.0,1.0,55.0,2
Built-up  Area,Kannamangala,957.0,2.0,2.0,56.0,2
Built-up  Area,Karuna Nagar,2500.0,3.0,2.0,180.0,3
Plot  Area,Karuna Nagar,2500.0,3.0,2.0,190.0,3
Built-up  Area,Karuna Nagar,1962.0,3.0,2.0,175.0,3
Super built-up  Area,Karuna Nagar,1057.0,2.0,1.0,65.0,2
Super built-up  Area,Karuna Nagar,1354.0,2.0,1.0,98.0,3
Super built-up  Area,Karuna Nagar,1945.0,3.0,3.0,115.0,3
Super built-up  Area,Karuna Nagar,1960.0,3.0,2.0,165.0,3
Super built-up  Area,Kasavanhalli,1060.0,2.0,2.0,58.06,2
Super built-up  Area,Kasavanhalli,1563.05,3.0,1.0,105.0,3
Built-up  Area,Kasavanhalli,1717.0,3.0,3.0,99.0,3
Built-up  Area,Kasavanhalli,3260.0,4.0,1.0,240.0,4
Super built-up  Area,Kasavanhalli,1349.0,2.0,2.0,78.0,2
Super built-up  Area,Kasavanhalli,1121.0,2.0,2.0,78.0,2
Built-up  Area,Kasavanhalli,1100.0,2.0,1.0,50.0,2
Super built-up  Area,Kasavanhalli,1200.0,2.0,1.0,78.0,2
Super built-up  Area,Kasavanhalli,1476.0,3.0,0.0,89.0,3
Super built-up  Area,Kasavanhalli,1200.0,2.0,2.0,50.0,2
Built-up  Area,Kasavanhalli,1719.0,3.0,2.0,116.0,3
Super built-up  Area,Kasavanhalli,1115.0,2.0,2.0,50.0,2
Super built-up  Area,Kasavanhalli,1125.0,2.0,1.0,61.2,2
Super built-up  Area,Kasavanhalli,2170.0,3.0,2.0,151.0,3
Super built-up  Area,Kasavanhalli,1476.0,3.0,1.0,95.0,3
Super built-up  Area,Kasavanhalli,1200.0,2.0,1.0,50.3,2
Super built-up  Area,Kasavanhalli,1787.0,3.0,2.0,123.0,3
Super built-up  Area,Kasavanhalli,1090.0,2.0,2.0,59.8,2
Super built-up  Area,Kasavanhalli,1691.0,3.0,2.0,104.0,3
Super built-up  Area,Kasavanhalli,4260.0,4.0,3.0,272.0,4
Built-up  Area,Kasavanhalli,2111.0,4.0,3.0,120.0,3
Super built-up  Area,Kasavanhalli,950.0,2.0,1.0,39.0,2
Super built-up  Area,Kasavanhalli,770.0,1.0,1.0,43.82,1
Super built-up  Area,Kasavanhalli,1147.0,2.0,1.0,60.0,2
Super built-up  Area,Kasavanhalli,1375.0,2.0,2.0,72.0,2
Super built-up  Area,Kasavanhalli,1200.0,2.0,2.0,60.0,2
Plot  Area,Kasavanhalli,4260.0,4.0,2.0,333.0,4
Built-up  Area,Kasavanhalli,1495.0,2.0,2.0,83.0,2
Super built-up  Area,Kasavanhalli,4000.0,4.0,2.0,325.0,4
Super built-up  Area,Kasavanhalli,1225.0,2.0,1.0,69.0,3
Super built-up  Area,Kasavanhalli,1917.0,3.0,2.0,132.0,3
Super built-up  Area,Kasavanhalli,1375.0,2.0,1.0,78.0,2
Plot  Area,Kasavanhalli,4408.0,4.0,2.0,344.0,4
Super built-up  Area,Kasavanhalli,1309.0,2.0,2.0,95.0,2
Super built-up  Area,Kasavanhalli,1476.0,3.0,0.0,105.0,3
Super built-up  Area,Kasavanhalli,1158.0,2.0,2.0,67.0,2
Super built-up  Area,Kasavanhalli,1214.0,2.0,3.0,67.0,2
Built-up  Area,Kasavanhalli,2110.0,4.0,3.0,120.0,3
Super built-up  Area,Kasavanhalli,1495.0,2.0,2.0,110.0,2
Super built-up  Area,Kasavanhalli,1575.0,2.0,3.0,85.0,2
Super built-up  Area,Kasavanhalli,1069.0,2.0,2.0,55.0,2
Super built-up  Area,Kasavanhalli,1100.0,2.0,1.0,68.0,2
Super built-up  Area,Kasavanhalli,1715.0,3.0,3.0,112.0,3
Super built-up  Area,Kasavanhalli,1100.0,2.0,1.0,65.0,2
Super built-up  Area,Kasavanhalli,1230.0,2.0,2.0,66.25,2
Super built-up  Area,Kasavanhalli,1819.0,3.0,1.0,150.0,3
Built-up  Area,Kasavanhalli,1585.0,2.0,2.0,90.0,2
Super built-up  Area,Kasavanhalli,1245.0,2.0,2.0,80.0,2
Super built-up  Area,Kasavanhalli,2035.0,3.0,2.0,142.0,3
Super built-up  Area,Kasavanhalli,1747.0,3.0,1.0,110.0,3
Super built-up  Area,Kasavanhalli,1377.0,2.0,2.0,80.0,2
Super built-up  Area,Kasavanhalli,1181.0,2.0,1.0,61.0,2
Built-up  Area,Kasavanhalli,1121.0,2.0,2.0,75.0,2
Built-up  Area,Kasturi Nagar,1925.0,3.0,2.0,125.0,3
Super built-up  Area,Kasturi Nagar,1567.0,2.0,2.0,92.0,2
Super built-up  Area,Kasturi Nagar,1080.0,2.0,2.0,80.0,2
Super built-up  Area,Kasturi Nagar,1101.0,2.0,2.0,65.0,2
Super built-up  Area,Kasturi Nagar,1896.0,3.0,1.0,125.0,4
Super built-up  Area,Kasturi Nagar,1100.0,2.0,2.0,58.0,2
Super built-up  Area,Kasturi Nagar,1570.0,3.0,2.0,110.0,3
Super built-up  Area,Kasturi Nagar,1000.0,2.0,0.0,58.0,2
Super built-up  Area,Kasturi Nagar,1101.0,2.0,2.0,66.0,2
Super built-up  Area,Kasturi Nagar,2507.0,4.0,2.0,155.0,4
Super built-up  Area,Kathriguppe,1400.0,2.0,2.0,77.0,3
Super built-up  Area,Kathriguppe,1250.0,2.0,1.0,68.75,3
Super built-up  Area,Kathriguppe,1245.0,2.0,2.0,68.48,3
Super built-up  Area,Kathriguppe,1350.0,2.0,1.0,87.01,3
Super built-up  Area,Kathriguppe,1350.0,2.0,2.0,80.99,3
Super built-up  Area,Kathriguppe,1365.0,2.0,2.0,75.08,3
Super built-up  Area,Kathriguppe,1300.0,3.0,2.0,77.99,3
Super built-up  Area,Kathriguppe,1350.0,2.0,1.0,80.99,3
Super built-up  Area,Kathriguppe,1390.0,2.0,2.0,76.45,3
Super built-up  Area,Kathriguppe,1350.0,3.0,3.0,78.3,3
Super built-up  Area,Kathriguppe,1250.0,2.0,2.0,68.75,3
Super built-up  Area,Kathriguppe,1300.0,3.0,2.0,77.99,3
Super built-up  Area,Kathriguppe,1335.0,2.0,3.0,73.43,3
Super built-up  Area,Kathriguppe,1300.0,3.0,2.0,77.99,3
Super built-up  Area,Kathriguppe,1300.0,3.0,3.0,77.99,3
Super built-up  Area,Kathriguppe,1335.0,2.0,2.0,73.43,3
Super built-up  Area,Kathriguppe,1350.0,3.0,2.0,80.99,3
Super built-up  Area,Kathriguppe,1250.0,2.0,1.0,68.75,2
Super built-up  Area,Kathriguppe,1350.0,3.0,2.0,80.99,3
Super built-up  Area,Kaval Byrasandra,1200.0,2.0,2.0,52.0,2
Built-up  Area,Kaval Byrasandra,1020.0,2.0,1.0,52.0,2
Super built-up  Area,Kaval Byrasandra,1200.0,2.0,1.0,49.5,2
Built-up  Area,Kaval Byrasandra,945.0,2.0,2.0,50.0,2
Built-up  Area,Kaval Byrasandra,1060.0,2.0,2.0,45.0,2
Built-up  Area,Kaval Byrasandra,1100.0,2.0,1.0,46.0,2
Built-up  Area,Kaval Byrasandra,1185.0,2.0,1.0,49.0,2
Super built-up  Area,Kaval Byrasandra,997.0,2.0,3.0,53.0,2
Super built-up  Area,Kaval Byrasandra,1060.0,2.0,2.0,42.0,2
Built-up  Area,Kaval Byrasandra,480.0,1.0,1.0,25.0,1
Super built-up  Area,Kaval Byrasandra,1125.0,2.0,1.0,41.5,2
Built-up  Area,Kaval Byrasandra,1180.0,2.0,2.0,60.0,2
Super built-up  Area,Kaval Byrasandra,1450.0,3.0,2.0,75.0,3
Built-up  Area,Kaval Byrasandra,1066.0,2.0,3.0,55.0,2
Super built-up  Area,Kaval Byrasandra,1025.0,2.0,1.0,60.0,2
Super built-up  Area,Kaval Byrasandra,1400.0,3.0,2.0,75.0,3
Super built-up  Area,Kenchenahalli,1015.0,2.0,2.0,58.0,2
Super built-up  Area,Kenchenahalli,715.0,1.0,1.0,45.0,1
Super built-up  Area,Kenchenahalli,1150.0,2.0,2.0,58.0,2
Super built-up  Area,Kenchenahalli,1280.0,2.0,2.0,69.0,3
Super built-up  Area,Kenchenahalli,870.0,1.0,1.0,45.0,2
Super built-up  Area,Kenchenahalli,1150.0,2.0,2.0,60.0,2
Super built-up  Area,Kenchenahalli,700.0,1.0,1.0,35.0,1
Super built-up  Area,Kenchenahalli,1060.0,2.0,2.0,52.0,2
Super built-up  Area,Kenchenahalli,1150.0,2.0,2.0,57.0,2
Super built-up  Area,Kenchenahalli,1720.0,3.0,2.0,100.0,3
Super built-up  Area,Kenchenahalli,1015.0,2.0,2.0,60.0,2
Super built-up  Area,Kengeri,750.0,2.0,1.0,38.0,2
Super built-up  Area,Kengeri,1197.0,2.0,2.0,50.0,2
Super built-up  Area,Kengeri,1200.0,2.0,0.0,58.0,2
Super built-up  Area,Kengeri,726.0,2.0,1.0,31.0,2
Super built-up  Area,Kengeri,1025.0,2.0,2.0,57.0,2
Built-up  Area,Kengeri,1082.0,2.0,1.0,49.0,3
Built-up  Area,Kengeri,750.0,2.0,1.0,36.0,2
Built-up  Area,Kengeri,963.0,2.0,2.0,40.0,2
Super built-up  Area,Kengeri,726.0,2.0,1.0,35.0,2
Super built-up  Area,Kengeri,416.0,1.0,1.0,19.5,1
Super built-up  Area,Kengeri,900.0,2.0,2.0,45.0,2
Built-up  Area,Kengeri,502.0,1.0,1.0,25.0,1
Plot  Area,Kengeri,1200.0,3.0,1.0,67.0,3
Super built-up  Area,Kengeri,725.0,2.0,1.0,30.0,2
Built-up  Area,Kengeri,500.0,1.0,1.0,17.0,1
Super built-up  Area,Kengeri,540.0,1.0,1.0,22.5,1
Super built-up  Area,Kengeri,750.0,2.0,1.0,35.5,2
Super built-up  Area,Kengeri,1741.0,3.0,2.0,80.0,3
Plot  Area,Kengeri,1200.0,2.0,0.0,58.0,2
Super built-up  Area,Kengeri,750.0,2.0,1.0,36.5,2
Super built-up  Area,Kengeri,416.0,1.0,1.0,18.0,1
Built-up  Area,Kengeri,883.0,2.0,0.0,49.0,2
Super built-up  Area,Kengeri,1052.0,2.0,2.0,51.0,2
Super built-up  Area,Kengeri,1220.0,2.0,2.0,63.0,2
Plot  Area,Kengeri,1150.0,1.0,0.0,52.0,1
Super built-up  Area,Kengeri,1192.0,2.0,2.0,53.5,2
Super built-up  Area,Kengeri,750.0,2.0,1.0,40.0,2
Super built-up  Area,Kengeri,1035.0,2.0,1.0,51.5,2
Built-up  Area,Kengeri,3000.0,5.0,2.0,130.0,8
Built-up  Area,Kengeri,410.0,1.0,1.0,15.0,1
Super built-up  Area,Kengeri,416.0,1.0,1.0,17.19,1
Built-up  Area,Kengeri,2500.0,4.0,3.0,100.0,5
Built-up  Area,Kengeri,550.0,1.0,1.0,16.75,1
Super built-up  Area,Kengeri Satellite Town,890.0,2.0,1.0,35.0,2
Built-up  Area,Kengeri Satellite Town,883.0,2.0,1.0,45.0,2
Super built-up  Area,Kengeri Satellite Town,1415.0,2.0,3.0,66.0,3
Super built-up  Area,Kengeri Satellite Town,930.0,1.0,1.0,30.0,1
Super built-up  Area,Kengeri Satellite Town,1635.0,2.0,2.0,78.0,3
Super built-up  Area,Kengeri Satellite Town,1050.0,2.0,2.0,43.0,2
Super built-up  Area,Kengeri Satellite Town,1007.0,2.0,3.0,42.0,2
Super built-up  Area,Kengeri Satellite Town,635.0,1.0,1.0,22.0,2
Super built-up  Area,Kengeri Satellite Town,818.0,2.0,1.0,26.0,2
Built-up  Area,Kengeri Satellite Town,1030.0,2.0,2.0,50.0,2
Plot  Area,Kengeri Satellite Town,1200.0,2.0,1.0,65.0,2
Super built-up  Area,Kengeri Satellite Town,795.0,2.0,2.0,32.0,2
Super built-up  Area,Kengeri Satellite Town,1302.5,2.0,0.0,44.285,2
Built-up  Area,Kengeri Satellite Town,800.0,2.0,1.0,40.0,2
Super built-up  Area,Kengeri Satellite Town,654.0,1.0,1.0,22.0,1
Super built-up  Area,Kengeri Satellite Town,1060.0,2.0,3.0,42.0,2
Super built-up  Area,Kengeri Satellite Town,750.0,2.0,1.0,33.0,2
Super built-up  Area,Kengeri Satellite Town,920.0,2.0,3.0,39.0,2
Super built-up  Area,Kengeri Satellite Town,985.0,2.0,2.0,42.0,2
Super built-up  Area,Kengeri Satellite Town,410.0,1.0,1.0,15.0,1
Super built-up  Area,Kengeri Satellite Town,1120.0,2.0,2.0,49.0,2
Built-up  Area,Kengeri Satellite Town,1110.0,2.0,1.0,43.0,2
Built-up  Area,Kengeri Satellite Town,1170.0,2.0,3.0,50.0,2
Super built-up  Area,Kengeri Satellite Town,777.4,2.0,0.0,25.0,2
Built-up  Area,Kengeri Satellite Town,800.0,2.0,1.0,32.0,2
Built-up  Area,Kereguddadahalli,950.0,2.0,1.0,32.0,2
Built-up  Area,Kereguddadahalli,1400.0,2.0,2.0,48.0,3
Built-up  Area,Kereguddadahalli,800.0,2.0,2.0,28.0,2
Built-up  Area,Kereguddadahalli,904.0,2.0,1.0,30.0,2
Super built-up  Area,Kereguddadahalli,1000.0,2.0,2.0,30.0,2
Built-up  Area,Kereguddadahalli,1240.0,3.0,2.0,41.0,3
Built-up  Area,Kereguddadahalli,600.0,1.0,1.0,19.5,1
Built-up  Area,Kereguddadahalli,1080.0,2.0,2.0,32.0,2
Super built-up  Area,Kereguddadahalli,1000.0,2.0,1.0,34.0,2
Super built-up  Area,Kereguddadahalli,1015.0,2.0,1.0,35.0,2
Super built-up  Area,Kodichikkanahalli,1190.0,2.0,2.0,57.0,3
Built-up  Area,Kodichikkanahalli,995.0,2.0,1.0,41.0,2
Super built-up  Area,Kodichikkanahalli,1495.0,2.0,2.0,75.0,3
Super built-up  Area,Kodichikkanahalli,1125.0,2.0,1.0,52.0,2
Built-up  Area,Kodichikkanahalli,1150.0,2.0,3.0,48.0,2
Super built-up  Area,Kodichikkanahalli,1070.0,2.0,3.0,43.0,2
Super built-up  Area,Kodichikkanahalli,1620.0,2.0,2.0,85.0,3
Super built-up  Area,Kodichikkanahalli,1026.0,2.0,1.0,45.0,2
Built-up  Area,Kodichikkanahalli,450.0,1.0,1.0,18.0,1
Super built-up  Area,Kodichikkanahalli,907.0,2.0,2.0,38.5,2
Super built-up  Area,Kodichikkanahalli,1181.0,2.0,2.0,57.0,2
Super built-up  Area,Kodichikkanahalli,900.0,2.0,1.0,42.0,2
Super built-up  Area,Kodichikkanahalli,1400.0,3.0,3.0,66.0,3
Super built-up  Area,Kodichikkanahalli,976.0,2.0,1.0,50.0,2
Built-up  Area,Kodichikkanahalli,2700.0,4.0,2.0,125.0,5
Super built-up  Area,Kodichikkanahalli,1299.0,2.0,3.0,58.0,2
Built-up  Area,Kodigehaali,1166.0,2.0,2.0,55.0,2
Built-up  Area,Kodigehaali,1320.0,3.0,0.0,65.0,3
Super built-up  Area,Kodigehaali,1117.0,2.0,2.0,56.0,2
Super built-up  Area,Kodigehaali,1200.0,2.0,1.0,55.0,2
Super built-up  Area,Kodigehaali,1200.0,2.0,2.0,60.0,2
Super built-up  Area,Kodigehaali,2120.0,3.0,2.0,177.0,3
Super built-up  Area,Kodigehaali,1013.0,2.0,1.0,51.0,2
Super built-up  Area,Kodigehaali,1324.0,3.0,2.0,65.0,3
Super built-up  Area,Kodigehaali,965.0,2.0,1.0,38.0,2
Built-up  Area,Kodigehaali,866.0,2.0,2.0,32.0,2
Built-up  Area,Kodigehaali,1442.0,3.0,2.0,80.0,3
Super built-up  Area,Kodigehalli,1270.0,2.0,1.0,98.0,2
Super built-up  Area,Kodigehalli,1200.0,2.0,2.0,48.0,2
Super built-up  Area,Kodigehalli,655.0,1.0,1.0,53.0,1
Super built-up  Area,Kodigehalli,1820.0,3.0,2.0,150.0,3
Super built-up  Area,Kodigehalli,635.0,1.0,1.0,28.0,2
Plot  Area,Kodigehalli,1200.0,4.0,1.0,156.0,3
Super built-up  Area,Kodihalli,3252.0,5.0,3.0,335.0,4
Super built-up  Area,Kodihalli,2700.0,4.0,1.0,270.0,3
Super built-up  Area,Kodihalli,2392.0,4.0,2.0,260.0,3
Super built-up  Area,Kodihalli,2408.0,4.0,2.0,260.0,3
Super built-up  Area,Kodihalli,2500.0,4.0,1.0,260.0,3
Built-up  Area,Kodihalli,1620.0,3.0,2.0,130.0,3
Super built-up  Area,Kodihalli,3260.0,5.0,3.0,388.0,4
Super built-up  Area,Kodihalli,3197.0,5.0,2.0,335.0,4
Built-up  Area,Kodihalli,1490.0,2.0,1.0,150.0,2
Super built-up  Area,Kogilu,1909.0,3.0,2.0,88.0,3
Super built-up  Area,Kogilu,1170.0,2.0,1.0,51.99,2
Built-up  Area,Kogilu,650.0,2.0,0.0,28.0,2
Super built-up  Area,Kogilu,1140.0,2.0,1.0,50.66,2
Super built-up  Area,Kogilu,1200.0,2.0,1.0,53.33,2
Super built-up  Area,Kogilu,1934.0,3.0,2.0,150.0,3
Built-up  Area,Kogilu,540.0,1.0,0.0,36.0,1
Super built-up  Area,Kogilu,1559.0,3.0,2.0,127.0,3
Super built-up  Area,Kogilu,1190.0,2.0,2.0,50.66,2
Super built-up  Area,Kogilu,1140.0,2.0,2.0,50.66,2
Super built-up  Area,Kogilu,1559.0,3.0,2.0,120.0,3
Super built-up  Area,Kogilu,700.0,1.0,1.0,30.84,1
Super built-up  Area,Kogilu,1250.0,2.0,1.0,55.55,2
Super built-up  Area,Kogilu,1200.0,2.0,1.0,53.33,2
Built-up  Area,Kogilu,952.0,2.0,2.0,49.0,2
Super built-up  Area,Kogilu,700.0,1.0,1.0,30.84,1
Super built-up  Area,Kogilu,1250.0,2.0,1.0,55.55,2
Plot  Area,Kogilu,2456.0,7.0,2.0,85.0,7
Super built-up  Area,Kogilu,1140.0,2.0,2.0,50.66,2
Super built-up  Area,Kogilu,1140.0,2.0,2.0,50.66,2
Super built-up  Area,Konanakunte,2791.0,3.0,1.0,223.0,3
Built-up  Area,Konanakunte,884.0,1.0,0.0,58.0,2
Plot  Area,Konanakunte,1200.0,4.0,0.0,125.0,4
Plot  Area,Konanakunte,1200.0,2.0,1.0,130.0,4
Plot  Area,Konanakunte,2400.0,2.0,3.0,180.0,3
Super built-up  Area,Konanakunte,1423.0,2.0,2.0,85.0,3
Super built-up  Area,Koramangala,1320.0,2.0,1.0,165.0,2
Super built-up  Area,Koramangala,1253.0,2.0,1.0,102.0,2
Super built-up  Area,Koramangala,1580.0,3.0,2.0,160.0,3
Super built-up  Area,Koramangala,3500.0,5.0,2.0,425.0,4
Super built-up  Area,Koramangala,1005.0,1.0,1.0,110.0,2
Super built-up  Area,Koramangala,2292.0,4.0,1.0,275.0,3
Super built-up  Area,Koramangala,1290.0,2.0,3.0,100.0,2
Super built-up  Area,Koramangala,1300.0,2.0,3.0,110.0,2
Super built-up  Area,Koramangala,1325.0,2.0,2.0,119.0,2
Built-up  Area,Koramangala,1140.0,2.0,1.0,75.2,2
Built-up  Area,Koramangala,1260.0,2.0,3.0,100.0,2
Built-up  Area,Koramangala,1975.0,3.0,2.0,210.0,3
Built-up  Area,Koramangala,1900.0,2.0,1.0,200.0,2
Super built-up  Area,Koramangala,2292.0,3.0,2.0,286.0,3
Built-up  Area,Koramangala,2300.0,3.0,3.0,290.0,3
Super built-up  Area,Koramangala,1320.0,2.0,1.0,150.0,2
Super built-up  Area,Koramangala,1320.0,2.0,2.0,110.0,2
Super built-up  Area,Koramangala,5985.0,4.0,2.0,775.0,4
Super built-up  Area,Koramangala,2246.0,3.0,0.0,300.0,3
Super built-up  Area,Koramangala,1083.0,2.0,1.0,100.0,2
Super built-up  Area,Koramangala,1744.0,3.0,1.0,200.0,3
Super built-up  Area,Koramangala,1180.0,2.0,1.0,128.0,2
Super built-up  Area,Koramangala,1320.0,2.0,1.0,160.0,2
Built-up  Area,Koramangala,1370.0,2.0,2.0,125.0,2
Super built-up  Area,Koramangala,1100.0,2.0,2.0,85.0,2
Super built-up  Area,Koramangala,1249.0,2.0,1.0,165.0,2
Built-up  Area,Koramangala,1200.0,2.0,2.0,100.0,2
Super built-up  Area,Koramangala,2223.0,3.0,2.0,300.0,3
Super built-up  Area,Koramangala,1744.0,4.0,1.0,210.0,3
Super built-up  Area,Koramangala,1866.0,4.0,2.0,245.0,3
Super built-up  Area,Koramangala,1320.0,2.0,1.0,160.0,2
Built-up  Area,Koramangala,1350.0,2.0,2.0,103.0,2
Built-up  Area,Koramangala,6000.0,4.0,0.0,625.0,4
Super built-up  Area,Koramangala,1320.0,2.0,1.0,160.0,2
Built-up  Area,Koramangala,1710.0,3.0,2.0,210.0,3
Built-up  Area,Koramangala,1355.0,2.0,2.0,95.0,2
Super built-up  Area,Koramangala,1600.0,3.0,1.0,170.0,3
Super built-up  Area,Koramangala,1260.0,2.0,1.0,100.0,2
Super built-up  Area,Kothannur,1206.0,2.0,1.0,48.23,2
Built-up  Area,Kothannur,1100.0,2.0,2.0,40.0,2
Super built-up  Area,Kothannur,1197.0,2.0,1.0,47.88,2
Super built-up  Area,Kothannur,1197.0,2.0,1.0,47.8,2
Super built-up  Area,Kothannur,1070.0,2.0,1.0,42.79,2
Super built-up  Area,Kothannur,1070.0,2.0,2.0,38.6,2
Super built-up  Area,Kothannur,1485.0,2.0,2.0,59.4,3
Super built-up  Area,Kothannur,1215.0,2.0,3.0,48.6,3
Super built-up  Area,Kothannur,1404.0,2.0,1.0,56.15,3
Super built-up  Area,Kothanur,1200.0,2.0,1.0,51.0,2
Plot  Area,Kothanur,2400.0,2.0,1.0,150.0,3
Super built-up  Area,Kothanur,1828.0,3.0,2.0,110.0,3
Super built-up  Area,Kothanur,1186.0,2.0,2.0,58.0,2
Super built-up  Area,Kothanur,1847.0,3.0,2.0,105.0,3
Plot  Area,Kothanur,9600.0,5.0,2.0,550.0,5
Super built-up  Area,Kothanur,1435.0,3.0,3.0,70.0,3
Super built-up  Area,Kothanur,1187.0,2.0,2.0,58.0,2
Super built-up  Area,Kothanur,1847.0,3.0,2.0,110.0,3
Super built-up  Area,Kothanur,1460.0,3.0,3.0,71.0,3
Super built-up  Area,Kothanur,1185.0,2.0,2.0,59.0,2
Super built-up  Area,Kothanur,1436.0,3.0,3.0,70.0,3
Super built-up  Area,Kothanur,1462.0,3.0,3.0,71.0,3
Super built-up  Area,Kothanur,1790.0,3.0,2.0,105.0,3
Super built-up  Area,Kothanur,1070.0,2.0,1.0,45.5,2
Super built-up  Area,Kothanur,1145.0,2.0,2.0,56.0,2
Plot  Area,Kothanur,3401.0,5.0,2.0,230.0,4
Super built-up  Area,Kothanur,1455.0,2.0,2.0,69.0,2
Built-up  Area,Kothanur,627.0,1.0,1.0,30.0,1
Super built-up  Area,Kothanur,1302.0,2.0,1.0,68.5,2
Super built-up  Area,Kothanur,1760.0,3.0,2.0,111.0,3
Super built-up  Area,Kothanur,1185.0,2.0,2.0,58.0,2
Plot  Area,Kothanur,1500.0,1.0,0.0,75.0,1
Super built-up  Area,Kothanur,1075.0,2.0,2.0,53.0,2
Built-up  Area,Kothanur,1790.0,3.0,0.0,97.0,3
Plot  Area,Kothanur,2700.0,4.0,2.0,175.0,4
Super built-up  Area,Kothanur,1786.0,2.0,2.0,106.0,3
Super built-up  Area,Kothanur,1787.0,3.0,2.0,107.0,3
Super built-up  Area,Kothanur,1141.0,2.0,2.0,54.0,2
Super built-up  Area,Kothanur,1760.0,3.0,2.0,110.0,3
Super built-up  Area,Kothanur,1160.0,2.0,2.0,57.0,2
Super built-up  Area,Kothanur,1095.0,2.0,2.0,55.0,2
Super built-up  Area,Kothanur,1142.0,2.0,2.0,56.0,2
Super built-up  Area,Kothanur,1074.0,2.0,2.0,54.0,2
Super built-up  Area,Kothanur,1285.0,2.0,1.0,60.0,2
Super built-up  Area,Kothanur,1075.0,2.0,2.0,53.0,2
Super built-up  Area,Kothanur,1140.0,2.0,2.0,56.0,2
Super built-up  Area,Kothanur,1400.0,2.0,1.0,70.0,2
Super built-up  Area,Kothanur,1140.0,2.0,2.0,56.0,2
Super built-up  Area,Kothanur,1787.0,3.0,2.0,120.0,3
Super built-up  Area,Kothanur,1185.0,2.0,2.0,59.0,2
Super built-up  Area,Kothanur,1790.0,3.0,2.0,105.0,3
Super built-up  Area,Kothanur,1130.0,2.0,2.0,55.0,2
Super built-up  Area,Kothanur,1094.0,2.0,2.0,54.0,2
Built-up  Area,Kothanur,1170.0,3.0,2.0,80.0,3
Built-up  Area,Kothanur,1400.0,2.0,2.0,65.0,2
Super built-up  Area,Kothanur,1195.0,2.0,2.0,59.0,2
Super built-up  Area,Kothanur,1790.0,3.0,2.0,120.0,3
Super built-up  Area,Kothanur,1454.0,3.0,3.0,71.5,3
Super built-up  Area,Kudlu,1152.0,2.0,1.0,53.5,2
Super built-up  Area,Kudlu,1027.0,2.0,2.0,43.0,2
Super built-up  Area,Kudlu,1092.0,2.0,2.0,44.0,2
Super built-up  Area,Kudlu,1027.0,2.0,2.0,43.0,2
Super built-up  Area,Kudlu,1092.0,2.0,2.0,44.0,2
Super built-up  Area,Kudlu,1143.0,2.0,1.0,55.0,2
Super built-up  Area,Kudlu,1024.0,2.0,2.0,44.0,2
Built-up  Area,Kudlu,1600.0,3.0,3.0,79.0,3
Super built-up  Area,Kudlu,1027.0,2.0,2.0,42.0,2
Built-up  Area,Kudlu,1076.0,2.0,1.0,50.0,2
Super built-up  Area,Kudlu,1027.0,2.0,2.0,44.0,2
Super built-up  Area,Kudlu,1084.0,2.0,1.0,53.0,2
Built-up  Area,Kudlu,1300.0,2.0,2.0,56.0,2
Built-up  Area,Kudlu,1027.0,2.0,2.0,44.0,2
Carpet  Area,Kudlu,1245.0,2.0,1.0,60.0,3
Super built-up  Area,Kudlu,1027.0,2.0,1.0,44.0,2
Built-up  Area,Kudlu,1110.0,2.0,1.0,46.0,2
Super built-up  Area,Kudlu,2100.0,3.0,1.0,114.0,4
Super built-up  Area,Kudlu,1027.0,2.0,2.0,44.0,2
Super built-up  Area,Kudlu,720.0,1.0,1.0,33.0,1
Super built-up  Area,Kudlu,1027.0,2.0,2.0,44.0,2
Super built-up  Area,Kudlu,1162.0,2.0,1.0,52.0,2
Super built-up  Area,Kudlu,1041.0,2.0,1.0,53.0,2
